jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros,Cluster,Perfil,Amarelo_Pontuacao,Vermelho_Pontuacao,Falta Cometida_Pontuacao,interceptacao_Pontuacao,recuperacoes_Pontuacao,Duelos Aereoes W_Pontuacao,Divididas Ganhas_Pontuacao,Clearence_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Higor Meritão,Criciúma,MF,29,1040,10,52,3,0,0,17,22,73,5,6,45.5,30,17,22,1,4,volante reserva,-15,0,-34,44,146,20,102,110,1,374,26.693629929221434
Marquinhos Gabriel,Criciúma,MF,33,1003,22,46,4,0,0,7,6,58,5,13,27.8,13,6,10,1,4,volante reserva,-20,0,-14,12,116,20,36,50,1,201,9.201213346814964
Matheusinho,Criciúma,MF,25,1585,21,88,3,0,0,15,10,102,3,23,11.5,19,10,12,0,4,volante reserva,-15,0,-30,20,204,12,60,60,0,311,20.323559150657232
Newton,Criciúma,MF,23,2299,35,80,7,0,0,54,32,106,28,33,45.9,52,31,61,1,2,volante defensivos,-35,0,-108,64,212,112,186,305,1,737,63.397371081900914
Ronald,Criciúma,MF,26,1510,34,64,6,0,0,38,17,124,7,18,28.0,57,30,12,1,1,volante criativo,-30,0,-76,34,248,28,180,60,1,445,33.872598584428715
Lucas Romero,Cruzeiro,MF,29,2531,22,159,8,1,1,42,18,135,27,17,61.4,75,48,24,0,3,volante ofensivo,-40,-10,-84,36,270,108,288,120,0,688,58.442871587462086
Lucas Silva,Cruzeiro,MF,30,1991,29,103,5,0,0,27,5,121,17,23,42.5,17,7,25,1,1,volante criativo,-25,0,-54,10,242,68,42,125,1,409,30.23255813953488
Ramiro Benetti,Cruzeiro,MF,30,1436,9,57,3,0,0,27,20,57,16,23,41.0,29,20,26,0,0,volante equilibrado,-15,0,-54,40,114,64,120,130,0,399,29.221435793731043
Denilson,Cuiabá,MF,22,2016,26,96,8,0,0,37,9,140,9,13,40.9,48,24,17,0,1,volante criativo,-40,0,-74,18,280,36,144,85,0,449,34.27704752275025
Fernando Sobral,Cuiabá,MF,29,2001,28,115,7,0,0,31,20,112,23,20,53.5,75,45,37,0,2,volante defensivos,-35,0,-62,40,224,92,270,185,0,714,61.071789686552066
Filipe Augusto,Cuiabá,MF,30,844,5,32,6,0,0,24,11,39,10,8,55.6,16,8,24,0,4,volante reserva,-30,0,-48,22,78,40,48,120,0,230,12.133468149646106
