jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas,Cluster,Perfil,PrgR_Pontuacao,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Aerial Duel%_Pontuacao,Pontuacao_Total,Pontuacao
Erick,São Paulo,"FW,MF",646,89,0.6,2.2,1,2,33,42,46.875,3,5,37.5% (3/5),18.29268292682927,4,ata mobilidade,356,3.0,8.8,10.0,6,36.58536585365854,93.75,514.1353658536585,25.49374279356993
Ferreira,São Paulo,"FW,MF",1230,152,2.9,1.8,5,1,76,57,37.5,3,7,30.0% (3/7),32.4390243902439,4,ata mobilidade,608,14.5,7.2,50.0,3,64.8780487804878,75.0,822.5780487804878,47.28952053649449
Jonathan Calleri,São Paulo,FW,2047,112,5.6,1.3,5,4,24,28,65.75,61,55,52.6% (61/55),12.682926829268293,3,ata aerea,448,28.0,5.2,50.0,12,25.365853658536587,131.5,700.0658536585365,38.632325136889854
Lucas Moura,São Paulo,"FW,MF",2246,173,5.2,3.2,8,6,87,131,67.875,38,32,54.3% (38/32),53.170731707317074,2,ata fin_criador,692,26.0,12.8,80.0,18,106.34146341463415,135.75,1070.891463414634,64.8363267845663
Luciano,São Paulo,"MF,FW",2302,126,7.1,2.4,10,2,24,92,48.25000000000001,17,27,38.6% (17/27),28.292682926829265,3,ata aerea,504,35.5,9.6,100.0,6,56.58536585365853,96.50000000000001,808.1853658536586,46.27247673691123
Luiz Gustavo,São Paulo,MF,2142,20,1.3,0.7,2,1,32,132,64.875,14,13,51.9% (14/13),40.0,0,ata gol,80,6.5,2.8,20.0,3,80.0,129.75,322.05,11.920232467154191
Marcos Antônio,São Paulo,MF,844,13,0.1,0.3,0,0,10,50,62.5,8,8,50.0% (8/8),14.634146341463413,0,ata gol,52,0.5,1.2,0.0,0,29.268292682926827,125.0,207.96829268292683,3.8587686203812055
Rodrigo Nestor,São Paulo,"MF,FW",984,59,1.1,1.4,0,2,29,50,100.0,4,1,80.0% (4/1),19.26829268292683,0,ata gol,236,5.5,5.6,0.0,6,38.53658536585366,200.0,491.63658536585365,23.9038901365193
Wellington Rato,São Paulo,"FW,MF",1052,90,2.2,3.5,1,5,24,47,67.25,7,6,53.8% (7/6),17.317073170731707,4,ata mobilidade,360,11.0,14.0,10.0,15,34.63414634146341,134.5,579.1341463414634,30.0868132455262
Adson,Vasco da Gama,FW,1224,80,1.5,2.6,2,1,42,72,53.625,9,12,42.9% (9/12),27.80487804878049,4,ata mobilidade,320,7.5,10.4,20.0,3,55.60975609756098,107.25,523.759756097561,26.17384020640767
David,Vasco da Gama,FW,1588,127,1.8,1.9,4,3,41,48,66.125,18,16,52.9% (18/16),21.70731707317073,4,ata mobilidade,508,9.0,7.6,40.0,9,43.41463414634146,132.25,749.2646341463415,42.10890520862238
Dimitri Payet,Vasco da Gama,"MF,FW",1220,79,1.8,2.6,2,3,24,100,62.5,4,4,50.0% (4/4),30.24390243902439,4,ata mobilidade,316,9.0,10.4,20.0,9,60.48780487804878,125.0,549.8878048780488,28.020151289789407
Emerson Rodríguez,Vasco da Gama,FW,795,90,1.4,0.5,2,0,30,12,39.5,6,13,31.6% (6/13),10.24390243902439,0,ata gol,360,7.0,2.0,20.0,0,20.48780487804878,79.0,488.4878048780488,23.68138487550219
Hugo Moura,Vasco da Gama,MF,2114,27,1.9,0.9,1,4,22,114,72.125,15,11,57.7% (15/11),33.170731707317074,0,ata gol,108,9.5,3.6,10.0,12,66.34146341463415,144.25,353.69146341463414,14.156143196182077
Juan Sforza,Vasco da Gama,MF,1250,10,0.7,0.1,1,0,7,66,81.125,24,13,64.9% (24/13),17.804878048780488,0,ata gol,40,3.5,0.4,10.0,0,35.609756097560975,162.25,251.75975609756097,6.953246319011532
Mateus Cocão,Vasco da Gama,MF,2156,38,0.7,1.0,2,2,20,114,75.0,24,16,60.0% (24/16),32.6829268292683,0,ata gol,152,3.5,4.0,20.0,6,65.3658536585366,150.0,400.8658536585366,17.489671860754104
Pablo Galdames Millán,Vasco da Gama,MF,1154,25,0.3,0.7,0,2,8,71,46.875,3,5,37.5% (3/5),19.26829268292683,0,ata gol,100,1.5,2.8,0.0,6,38.53658536585366,93.75,242.58658536585367,6.305033858372212
Pablo Vegetti,Vasco da Gama,FW,2986,131,12.4,2.8,12,2,10,37,56.62499999999999,139,168,45.3% (139/168),11.463414634146343,3,ata aerea,524,62.0,11.2,120.0,6,22.926829268292686,113.24999999999999,859.3768292682927,49.889867651595715
Philippe Coutinho,Vasco da Gama,MF,667,29,2.3,1.0,2,1,28,60,46.875,6,10,37.5% (6/10),21.463414634146343,0,ata gol,116,11.5,4.0,20.0,3,42.926829268292686,93.75,291.1768292682927,9.738612332410106
Rayan Vitor,Vasco da Gama,"FW,MF",855,51,1.9,1.4,1,0,16,15,62.5,25,25,50.0% (25/25),7.560975609756097,0,ata gol,204,9.5,5.6,10.0,0,15.121951219512194,125.0,369.2219512195122,15.253588780633255
Alerrandro,Vitória,FW,2387,87,11.0,2.8,11,4,16,55,35.625,37,93,28.5% (37/93),17.317073170731707,3,ata aerea,348,55.0,11.2,110.0,12,34.63414634146341,71.25,642.0841463414635,34.53510877939233
Carlos Eduardo,Vitória,"FW,MF",871,57,1.5,1.2,0,2,19,22,57.875,19,22,46.3% (19/22),10.0,0,ata gol,228,7.5,4.8,0.0,6,20.0,115.75,382.05,16.16006935407981
Gustavo Mosquito,Vitória,"FW,MF",797,48,2.1,2.0,0,2,23,22,25.0,2,8,20.0% (2/8),10.975609756097562,0,ata gol,192,10.5,8.0,0.0,6,21.951219512195124,50.0,288.4512195121951,9.546009986022327
Janderson,Vitória,"FW,MF",1396,87,2.1,1.6,3,1,39,23,51.5,42,60,41.2% (42/60),15.121951219512194,1,ata criador sec,348,10.5,6.4,30.0,3,30.24390243902439,103.0,531.1439024390244,26.69563314035756
José Hugo,Vitória,"MF,FW",632,75,1.5,0.9,1,2,34,17,44.625,10,18,35.7% (10/18),12.439024390243903,0,ata gol,300,7.5,3.6,10.0,6,24.878048780487806,89.25,441.2280487804878,20.341823922676408
Luan Silva,Vitória,MF,1585,3,0.4,0.2,0,0,6,41,80.375,18,10,64.3% (18/10),11.463414634146343,0,ata gol,12,2.0,0.8,0.0,0,22.926829268292686,160.75,198.4768292682927,3.1880643421100268
Léo Naldi,Vitória,MF,1103,18,0.5,0.2,0,0,13,45,68.5,17,14,54.8% (17/14),14.146341463414632,0,ata gol,72,2.5,0.8,0.0,0,28.292682926829265,137.0,240.59268292682927,6.16413683987377
Machado,Vitória,MF,822,9,0.3,0.5,0,0,3,39,52.125,5,7,41.7% (5/7),10.24390243902439,0,ata gol,36,1.5,2.0,0.0,0,20.48780487804878,104.25,164.2378048780488,0.7685996990749917
Matheusinho,Vitória,"MF,FW",2469,114,3.5,3.4,5,5,55,98,35.75000000000001,14,35,28.6% (14/35),37.31707317073171,2,ata fin_criador,456,17.5,13.6,50.0,15,74.63414634146342,71.50000000000001,698.2341463414634,38.502889466073555
Osvaldo,Vitória,"MF,FW",1072,91,2.4,1.6,1,0,29,37,41.62499999999999,3,6,33.3% (3/6),16.097560975609756,0,ata gol,364,12.0,6.4,10.0,0,32.19512195121951,83.24999999999999,507.8451219512195,25.049249324814593
Ricardo,Vitória,MF,1043,12,0.2,0.5,0,1,5,54,50.75000000000001,13,19,40.6% (13/19),14.390243902439023,0,ata gol,48,1.0,2.0,0.0,3,28.780487804878046,101.50000000000001,184.28048780487808,2.1848948055104107
Willian,Vitória,MF,2649,46,4.1,1.2,5,1,11,102,62.5,43,43,50.0% (43/43),27.5609756097561,1,ata criador sec,184,20.5,4.8,50.0,3,55.1219512195122,125.0,442.4219512195122,20.426189782682506
