jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,Aerial Duel Won_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Léo Pereira,Flamengo,DF,2023,20,142,60.6,40,26,18,6,0,0,20,33,60.6,14,0,60.6% (40/26),1,zagueiros fisicos,40,284,400,-54,-30,0,200,70,0,910,39.80789754535753
Wesley,Flamengo,DF,2344,68,96,62.7,47,28,36,1,0,0,36,67,53.7,38,1,62.7% (47/28),4,zagueiros completos,136,192,470,-108,-5,0,360,190,-2,1233,57.04375667022412
Antonio Carlos,Fluminense,DF,1080,8,40,69.1,47,21,11,1,0,0,2,4,50.0,20,1,69.1% (47/21),0,zagueiros defensivos,16,80,470,-33,-5,0,20,100,-2,646,25.720384204909287
Diogo Barbosa,Fluminense,DF,1849,42,114,63.3,19,11,18,6,0,0,21,39,53.8,15,0,63.3% (19/11),1,zagueiros fisicos,84,228,190,-54,-30,0,210,75,0,703,28.762006403415153
Manoel,Fluminense,DF,1047,0,17,32.3,10,21,10,2,0,0,4,11,36.4,6,0,32.3% (10/21),0,zagueiros defensivos,0,34,100,-30,-10,0,40,30,0,164,0.0
Marcelo,Fluminense,DF,1044,18,82,0.0,0,8,12,3,0,0,16,36,44.4,8,0,0.0% (0/8),1,zagueiros fisicos,36,164,0,-36,-15,0,160,40,0,349,9.871931696905015
Samuel Xavier,Fluminense,DF,2750,66,142,45.1,23,28,39,5,0,0,29,45,64.4,28,0,45.1% (23/28),4,zagueiros completos,132,284,230,-117,-25,0,290,140,0,934,41.088580576307365
Thiago Silva,Fluminense,DF,1350,3,37,70.3,26,11,4,2,0,0,3,5,60.0,15,1,70.3% (26/11),0,zagueiros defensivos,6,74,260,-12,-10,0,30,75,-2,421,13.713980789754535
Thiago dos Santos,Fluminense,DF,2143,13,67,59.2,71,49,25,9,0,0,23,40,57.5,29,2,59.2% (71/49),3,zagueiros modernos,26,134,710,-75,-45,0,230,145,-4,1121,51.06723585912487
Benjamín Kuscevic,Fortaleza,DF,1858,4,37,57.4,54,40,17,8,1,1,19,27,70.4,20,2,57.4% (54/40),2,zagueiros equilibrados,8,74,540,-51,-40,-10,190,100,-4,807,34.311632870864464
Bruno Pacheco,Fortaleza,DF,1185,20,37,62.3,33,20,13,3,0,0,21,28,75.0,14,1,62.3% (33/20),0,zagueiros defensivos,40,74,330,-39,-15,0,210,70,-2,668,26.894343649946638
Emanuel Brítez,Fortaleza,DF,2503,12,64,65.0,65,35,31,12,2,1,34,58,58.6,37,1,65.0% (65/35),2,zagueiros equilibrados,24,128,650,-93,-60,-20,340,185,-2,1152,52.721451440768405
Felipe Jonatan,Fortaleza,DF,1510,15,59,51.4,18,17,13,0,0,0,10,26,38.5,23,0,51.4% (18/17),0,zagueiros defensivos,30,118,180,-39,0,0,100,115,0,504,18.14300960512273
Guilherme Tinga,Fortaleza,DF,2152,32,105,58.9,73,51,18,3,1,0,19,32,59.4,33,1,58.9% (73/51),3,zagueiros modernos,64,210,730,-54,-15,-10,190,165,-2,1278,59.44503735325507
Titi,Fortaleza,DF,2020,8,44,49.2,31,32,36,8,0,0,14,34,41.2,29,3,49.2% (31/32),3,zagueiros modernos,16,88,310,-108,-40,0,140,145,-6,545,20.330843116328708
Tomás Cardona,Fortaleza,DF,1435,11,50,61.5,40,25,23,4,0,0,14,25,56.0,29,4,61.5% (40/25),3,zagueiros modernos,22,100,400,-69,-20,0,140,145,-8,710,29.13553895410886
Fábio,Grêmio,DF,677,11,15,50.0,13,13,6,1,1,0,6,12,50.0,5,0,50.0% (13/13),0,zagueiros defensivos,22,30,130,-18,-5,-10,60,25,0,234,3.7353255069370332
Gustavo Martins Santos,Grêmio,DF,1377,1,45,72.2,39,15,15,1,1,0,8,15,53.3,15,0,72.2% (39/15),0,zagueiros defensivos,2,90,390,-45,-5,-10,80,75,0,577,22.038420490928495
Jemerson,Grêmio,DF,1143,2,17,60.5,23,15,16,5,0,0,11,15,73.3,8,0,60.5% (23/15),0,zagueiros defensivos,4,34,230,-48,-25,0,110,40,0,345,9.658484525080043
João Pedro,Grêmio,DF,2754,61,120,41.5,17,24,14,0,0,0,0,0,,1,0,41.5% (17/24),1,zagueiros fisicos,122,240,170,-42,0,0,0,5,0,495,17.66275346851654
João Pedro,Grêmio,DF,2754,61,120,41.5,17,24,14,0,0,0,17,29,58.6,18,0,41.5% (17/24),1,zagueiros fisicos,122,240,170,-42,0,0,170,90,0,750,31.270010672358588
João Pedro,Grêmio,DF,2754,61,120,53.1,34,30,15,3,0,0,0,0,,1,0,53.1% (34/30),1,zagueiros fisicos,122,240,340,-45,-15,0,0,5,0,647,25.773745997865525
João Pedro,Grêmio,DF,2754,61,120,53.1,34,30,15,3,0,0,17,29,58.6,18,0,53.1% (34/30),1,zagueiros fisicos,122,240,340,-45,-15,0,170,90,0,902,39.38100320170758
Pedro Geromel,Grêmio,DF,771,2,15,62.1,18,11,5,4,0,0,7,12,58.3,11,0,62.1% (18/11),0,zagueiros defensivos,4,30,180,-15,-20,0,70,55,0,304,7.4706510138740665
Reinaldo,Grêmio,DF,2526,34,128,37.1,13,22,21,6,0,0,28,49,57.1,22,2,37.1% (13/22),1,zagueiros fisicos,68,256,130,-63,-30,0,280,110,-4,747,31.10992529348986
Rodrigo Ely,Grêmio,DF,1659,3,37,74.3,81,28,16,5,0,0,23,29,79.3,24,1,74.3% (81/28),3,zagueiros modernos,6,74,810,-48,-25,0,230,120,-2,1165,53.41515474919958
Walter Kannemann,Grêmio,DF,1000,2,21,82.4,28,6,23,7,1,0,9,20,45.0,19,0,82.4% (28/6),0,zagueiros defensivos,4,42,280,-69,-35,-10,90,95,0,397,12.433297758804695
Agustín Rogel,Internacional,DF,1055,1,24,73.3,33,12,17,2,1,0,5,13,38.5,11,1,73.3% (33/12),0,zagueiros defensivos,2,48,330,-51,-10,-10,50,55,-2,412,13.233724653148347
Alexandro Bernabei,Internacional,DF,2063,59,114,56.9,29,22,41,5,0,0,28,60,46.7,49,0,56.9% (29/22),4,zagueiros completos,118,228,290,-123,-25,0,280,245,0,1013,45.30416221985058
Fabricio Bustos,Internacional,DF,864,12,63,41.2,7,10,17,4,0,0,18,25,72.0,11,0,41.2% (7/10),0,zagueiros defensivos,24,126,70,-51,-20,0,180,55,0,384,11.739594450373533
Gabriel Mercado,Internacional,DF,1186,2,32,48.9,23,24,8,6,0,0,9,12,75.0,10,0,48.9% (23/24),0,zagueiros defensivos,4,64,230,-24,-30,0,90,50,0,384,11.739594450373533
Igor Gomes,Internacional,DF,688,8,22,46.5,20,23,8,2,0,0,11,19,57.9,7,0,46.5% (20/23),0,zagueiros defensivos,16,44,200,-24,-10,0,110,35,0,371,11.04589114194237
Renê,Internacional,DF,1043,33,93,72.5,29,11,12,2,0,0,12,18,66.7,21,0,72.5% (29/11),0,zagueiros defensivos,66,186,290,-36,-10,0,120,105,0,721,29.722518676627534
Robert Renan,Internacional,DF,959,16,45,50.0,14,14,14,2,0,0,14,25,56.0,20,1,50.0% (14/14),0,zagueiros defensivos,32,90,140,-42,-10,0,140,100,-2,448,15.154749199573105
Vitão,Internacional,DF,2502,29,89,59.1,55,38,20,5,0,0,20,30,66.7,23,0,59.1% (55/38),3,zagueiros modernos,58,178,550,-60,-25,0,200,115,0,1016,45.46424759871932
Alan Ruschel,Juventude,DF,2243,44,119,48.8,21,22,29,7,2,2,41,75,54.7,35,0,48.8% (21/22),2,zagueiros equilibrados,88,238,210,-87,-35,-20,410,175,0,979,43.48986125933831
Danilo Boza,Juventude,DF,2829,20,88,65.0,76,41,5,2,0,0,11,23,47.8,33,1,65.0% (76/41),3,zagueiros modernos,40,176,760,-15,-10,0,110,165,-2,1224,56.563500533617926
Gabriel Inocêncio,Juventude,DF,883,22,25,53.6,15,13,22,2,0,0,13,23,56.5,9,0,53.6% (15/13),0,zagueiros defensivos,44,50,150,-66,-10,0,130,45,0,343,9.551760939167556
João Lucas,Juventude,DF,2569,72,107,50.9,29,28,33,8,1,1,37,58,63.8,28,0,50.9% (29/28),4,zagueiros completos,144,214,290,-99,-40,-10,370,140,0,1009,45.090715048025615
Lucas Freitas,Juventude,DF,1256,8,43,45.7,16,19,11,3,1,1,5,12,41.7,14,0,45.7% (16/19),0,zagueiros defensivos,16,86,160,-33,-15,-10,50,70,0,324,8.537886872998932
Rodrigo Sam,Juventude,DF,803,2,22,76.3,29,9,13,4,1,0,8,15,53.3,20,0,76.3% (29/9),0,zagueiros defensivos,4,44,290,-39,-20,-10,80,100,0,449,15.20811099252935
Zé Marcos,Juventude,DF,1951,5,40,66.3,53,27,20,12,2,2,18,31,58.1,18,1,66.3% (53/27),2,zagueiros equilibrados,10,80,530,-60,-60,-20,180,90,-2,748,31.163287086446108
Agustín Giay,Palmeiras,DF,642,16,37,50.0,4,4,12,1,0,0,21,34,61.8,6,0,50.0% (4/4),0,zagueiros defensivos,32,74,40,-36,-5,0,210,30,0,345,9.658484525080043
Caio Paulista,Palmeiras,DF,1201,39,74,50.0,10,10,15,1,1,0,14,26,53.8,9,1,50.0% (10/10),1,zagueiros fisicos,78,148,100,-45,-5,-10,140,45,-2,449,15.20811099252935
Gustavo Gómez,Palmeiras,DF,2367,8,82,61.3,100,63,44,9,0,0,18,24,75.0,32,0,61.3% (100/63),3,zagueiros modernos,16,164,1000,-132,-45,0,180,160,0,1343,62.91355389541089
Joaquín Piquerez,Palmeiras,DF,1314,29,87,65.0,13,7,10,2,0,0,18,36,50.0,13,0,65.0% (13/7),0,zagueiros defensivos,58,174,130,-30,-10,0,180,65,0,567,21.504802561366063
Kaiky Naves,Palmeiras,DF,733,2,41,50.0,25,25,17,1,0,0,14,19,73.7,17,0,50.0% (25/25),0,zagueiros defensivos,4,82,250,-51,-5,0,140,85,0,505,18.196371398078977
Marcos Rocha,Palmeiras,DF,1936,35,150,58.1,18,13,29,5,1,0,25,49,51.0,33,2,58.1% (18/13),4,zagueiros completos,70,300,180,-87,-25,-10,250,165,-4,839,36.019210245464244
Mayke,Palmeiras,DF,1035,20,73,55.9,19,15,17,7,0,0,16,30,53.3,23,2,55.9% (19/15),1,zagueiros fisicos,40,146,190,-51,-35,0,160,115,-4,561,21.1846318036286
Murilo Cerqueira,Palmeiras,DF,2175,25,127,60.6,66,43,34,7,1,1,15,30,50.0,25,0,60.6% (66/43),2,zagueiros equilibrados,50,254,660,-102,-35,-10,150,125,0,1092,49.51974386339381
Vanderlan,Palmeiras,DF,1051,19,32,52.2,12,11,20,0,0,0,13,21,61.9,13,0,52.2% (12/11),0,zagueiros defensivos,38,64,120,-60,0,0,130,65,0,357,10.298826040554962
Vitor Reis,Palmeiras,DF,1458,3,46,65.7,46,24,24,3,0,0,20,29,69.0,13,0,65.7% (46/24),0,zagueiros defensivos,6,92,460,-72,-15,0,200,65,0,736,30.52294557097118
Douglas Mendes,Red Bull Bragantino,DF,1346,9,29,66.7,38,19,24,2,0,0,11,18,61.1,17,0,66.7% (38/19),0,zagueiros defensivos,18,58,380,-72,-10,0,110,85,0,569,21.611526147278546
Eduardo Santos,Red Bull Bragantino,DF,1716,12,62,67.3,35,17,8,5,0,0,12,18,66.7,19,1,67.3% (35/17),0,zagueiros defensivos,24,124,350,-24,-25,0,120,95,-2,662,26.57417289220918
Guilherme,Red Bull Bragantino,DF,670,8,18,40.6,13,19,8,1,0,0,10,15,66.7,10,0,40.6% (13/19),0,zagueiros defensivos,16,36,130,-24,-5,0,100,50,0,303,7.417289220917824
José Hurtado,Red Bull Bragantino,DF,1325,39,56,40.7,11,16,14,2,0,0,13,29,44.8,19,1,40.7% (11/16),1,zagueiros fisicos,78,112,110,-42,-10,0,130,95,-2,471,16.3820704375667
Luan Cândido,Red Bull Bragantino,DF,1953,7,50,70.5,62,26,37,5,0,0,16,28,57.1,32,1,70.5% (62/26),3,zagueiros modernos,14,100,620,-111,-25,0,160,160,-2,916,40.128068303094985
Lucas Cunha,Red Bull Bragantino,DF,782,0,22,61.3,19,12,5,2,1,0,4,7,57.1,4,0,61.3% (19/12),0,zagueiros defensivos,0,44,190,-15,-10,-10,40,20,0,259,5.069370330843117
Nathan Mendes,Red Bull Bragantino,DF,1165,17,51,48.4,15,16,17,6,0,0,17,26,65.4,11,0,48.4% (15/16),0,zagueiros defensivos,34,102,150,-51,-30,0,170,55,0,430,14.194236926360727
