jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas,Cluster,Perfil,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Key_Pass_Pontuacao,Passing 1/3_Pontuacao,Cross_Pontuacao,%Dribles_Pontuacao,Pontuacao_Total,Pontuacao
Allano,Criciúma,"FW,MF",1296,2.1,1.9,1,2,62,59,19,30,21,69,31,,29.51219512195122,0,construtores diretos,2.3100000000000005,3.515,1.8,4,35.41463414634146,28.5,33.0,21.0,,129.53963414634146,15.602044099296899
Arthur,Criciúma,FW,1671,5.0,1.7,5,1,12,26,21,11,4,18,5,,9.268292682926829,2,mei assist,5.5,3.145,9.0,2,11.121951219512194,31.5,12.100000000000001,4.0,,78.3669512195122,8.617899467104785
Barreto,Criciúma,MF,2281,3.1,0.9,2,2,18,92,17,74,6,31,17,,26.82926829268293,4,finalizadores criativos,3.4100000000000006,1.665,3.6,4,32.19512195121951,25.5,81.4,6.0,,157.77012195121952,19.454994513261465
Fellipe Mateus,Criciúma,"MF,FW",1887,1.9,0.9,3,0,17,60,20,47,30,43,23,,18.78048780487805,1,mei apoio,2.09,1.665,5.4,0,22.536585365853657,30.0,51.7,30.0,,143.39158536585364,17.492584622518546
Higor Meritão,Criciúma,MF,1040,1.3,0.1,2,0,10,52,2,45,2,11,6,,15.121951219512194,1,mei apoio,1.4300000000000002,0.18500000000000003,3.6,0,18.146341463414632,3.0,49.50000000000001,2.0,,77.86134146341465,8.548892890508402
Marquinhos Gabriel,Criciúma,MF,1003,0.5,1.8,0,0,22,46,19,34,20,39,17,,16.585365853658537,1,mei apoio,0.55,3.33,0.0,0,19.902439024390244,28.5,37.400000000000006,20.0,,109.68243902439025,12.89189652076031
Matheusinho,Criciúma,MF,1585,4.0,2.2,5,3,21,88,31,60,43,87,38,,26.585365853658537,0,construtores diretos,4.4,4.07,9.0,6,31.902439024390244,46.5,66.0,43.0,,210.87243902439025,26.702499266409824
Newton,Criciúma,MF,2299,1.6,1.0,1,1,35,80,14,90,35,32,22,,28.04878048780488,4,finalizadores criativos,1.7600000000000002,1.85,1.8,2,33.65853658536585,21.0,99.00000000000001,35.0,,196.06853658536585,24.68203463877154
Ronald,Criciúma,MF,1510,0.8,1.5,1,2,34,64,22,46,28,69,38,,23.902439024390244,4,finalizadores criativos,0.8800000000000001,2.7750000000000004,1.8,4,28.682926829268293,33.0,50.6,28.0,,149.7379268292683,18.358745318629463
Yannick Bolasie,Criciúma,FW,2377,7.4,1.8,8,4,63,55,20,31,59,63,24,,28.780487804878046,2,mei assist,8.14,3.33,14.4,8,34.536585365853654,30.0,34.1,59.0,,191.50658536585365,24.059410900875363
Éder,Criciúma,FW,764,1.1,1.3,0,0,13,22,12,18,16,10,1,,8.536585365853659,1,mei apoio,1.2100000000000002,2.4050000000000002,0.0,0,10.24390243902439,18.0,19.8,16.0,,67.65890243902439,7.1564446999503835
Arthur,Cruzeiro,FW,1273,1.6,0.8,2,1,48,35,10,13,35,60,26,,20.243902439024392,1,mei apoio,1.7600000000000002,1.4800000000000002,3.6,2,24.29268292682927,15.0,14.3,35.0,,97.43268292682927,11.220026620626776
Gabriel Veron,Cruzeiro,"FW,MF",1611,4.1,1.5,6,2,24,34,21,17,8,37,14,,14.146341463414632,2,mei assist,4.51,2.7750000000000004,10.8,4,16.97560975609756,31.5,18.700000000000003,8.0,,97.26060975609757,11.196541748562739
Kaio Jorge,Cruzeiro,FW,1163,5.3,1.4,2,2,20,18,13,10,3,14,5,,9.268292682926829,1,mei apoio,5.83,2.59,3.6,4,11.121951219512194,19.5,11.0,3.0,,60.641951219512194,6.198757914909531
Lautaro Díaz,Cruzeiro,FW,959,2.2,0.6,1,0,15,15,13,11,10,26,4,,7.317073170731707,1,mei apoio,2.4200000000000004,1.11,1.8,0,8.780487804878048,19.5,12.100000000000001,10.0,,55.71048780487805,5.52570245316216
Lucas Romero,Cruzeiro,MF,2531,0.7,0.8,0,2,22,159,26,136,6,27,13,,44.146341463414636,4,finalizadores criativos,0.77,1.4800000000000002,0.0,4,52.97560975609756,39.0,149.60000000000002,6.0,,253.82560975609758,32.56482931524538
Lucas Silva,Cruzeiro,MF,1991,0.9,1.5,1,1,29,103,26,95,21,31,18,,32.19512195121951,4,finalizadores criativos,0.9900000000000001,2.7750000000000004,1.8,2,38.63414634146341,39.0,104.50000000000001,21.0,,210.69914634146343,26.678847953012948
Matheus Henrique,Cruzeiro,"MF,FW",1219,1.0,0.3,2,0,22,56,14,47,21,28,12,,19.024390243902438,1,mei apoio,1.1,0.555,3.6,0,22.829268292682926,21.0,51.7,21.0,,121.78426829268292,14.543577087220083
Matheus Pereira,Cruzeiro,"FW,MF",2823,5.3,5.7,8,7,89,224,77,157,171,81,38,,76.34146341463415,3,mei completos,5.83,10.545000000000002,14.4,14,91.60975609756098,115.5,172.70000000000002,171.0,,595.584756097561,79.20876453428134
Ramiro Benetti,Cruzeiro,MF,1436,1.1,0.7,2,0,9,57,5,59,22,3,1,,16.097560975609756,1,mei apoio,1.2100000000000002,1.295,3.6,0,19.317073170731707,7.5,64.9,22.0,,119.82207317073171,14.275772982676955
Álvaro Barreal,Cruzeiro,"MF,FW",1488,2.4,1.6,2,4,29,69,26,60,76,38,17,,23.902439024390244,4,finalizadores criativos,2.64,2.9600000000000004,3.6,8,28.682926829268293,39.0,66.0,76.0,,226.88292682926829,28.8876409487622
Clayson,Cuiabá,"FW,MF",2043,2.6,1.2,5,1,56,75,19,50,89,78,24,,31.951219512195124,0,construtores diretos,2.8600000000000003,2.22,9.0,2,38.34146341463415,28.5,55.00000000000001,89.0,,226.92146341463416,28.892900494880013
Denilson,Cuiabá,MF,2016,1.1,2.2,0,3,26,96,27,87,33,81,56,,29.756097560975608,0,construtores diretos,1.2100000000000002,4.07,0.0,6,35.70731707317073,40.5,95.7,33.0,,216.18731707317073,27.427883883202792
Derik Lacerda,Cuiabá,"FW,MF",1420,3.3,2.1,4,0,36,24,15,15,8,57,27,,14.634146341463413,1,mei apoio,3.63,3.8850000000000002,7.2,0,17.560975609756095,22.5,16.5,8.0,,79.2759756097561,8.741964836605376
Fernando Sobral,Cuiabá,MF,2001,1.3,2.5,0,2,28,115,26,102,72,42,22,,34.8780487804878,4,finalizadores criativos,1.4300000000000002,4.625,0.0,4,41.853658536585364,39.0,112.2,72.0,,275.1086585365854,35.46958010014109
