jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,xAG_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Cross_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
David Luiz,Flamengo,DF,36,1756,32,104,0.4,75.0,39,13,22,5,0,0,6,2,6,33.3,15,1,75.0% (39/13),4,Laterais equilibrados,64,208,4.0,-66,-25,0,60,20,75,-2,338.0,9.803921568627452
Fabrício Bruno,Flamengo,DF,27,2310,11,115,0.2,61.3,38,24,10,6,0,0,5,18,21,85.7,14,0,61.3% (38/24),3,Laterais criativos,22,230,2.0,-30,-30,0,50,180,70,0,494.0,15.170278637770899
Guillermo Varela,Flamengo,DF,30,1038,14,24,1.0,63.2,12,7,10,2,0,0,29,10,15,66.7,13,0,63.2% (12/7),3,Laterais criativos,28,48,10.0,-30,-10,0,290,100,65,0,501.0,15.41107671138631
Léo Pereira,Flamengo,DF,28,2023,20,142,1.0,60.6,40,26,18,6,0,0,26,20,33,60.6,14,0,60.6% (40/26),4,Laterais equilibrados,40,284,10.0,-54,-30,0,260,200,70,0,780.0,25.00859993120055
Wesley,Flamengo,DF,20,2344,68,96,2.4,62.7,47,28,36,1,0,0,82,36,67,53.7,38,1,62.7% (47/28),0,Laterais protetores,136,192,24.0,-108,-5,0,820,360,190,-2,1607.0,53.45717234262126
Antonio Carlos,Fluminense,DF,30,1080,8,40,0.2,69.1,47,21,11,1,0,0,4,2,4,50.0,20,1,69.1% (47/21),3,Laterais criativos,16,80,2.0,-33,-5,0,40,20,100,-2,218.0,5.675954592363261
Diogo Barbosa,Fluminense,DF,31,1849,42,114,1.3,63.3,19,11,18,6,0,0,41,21,39,53.8,15,0,63.3% (19/11),4,Laterais equilibrados,84,228,13.0,-54,-30,0,410,210,75,0,936.0,30.374957000344
Manoel,Fluminense,DF,33,1047,0,17,0.1,32.3,10,21,10,2,0,0,0,4,11,36.4,6,0,32.3% (10/21),3,Laterais criativos,0,34,1.0,-30,-10,0,0,40,30,0,65.0,0.41279669762641896
Marcelo,Fluminense,DF,35,1044,18,82,1.8,0.0,0,8,12,3,0,0,55,16,36,44.4,8,0,0.0% (0/8),4,Laterais equilibrados,36,164,18.0,-36,-15,0,550,160,40,0,917.0,29.721362229102166
Samuel Xavier,Fluminense,DF,33,2750,66,142,2.0,45.1,23,28,39,5,0,0,69,29,45,64.4,28,0,45.1% (23/28),0,Laterais protetores,132,284,20.0,-117,-25,0,690,290,140,0,1414.0,46.81802545579635
Thiago Silva,Fluminense,DF,39,1350,3,37,0.7,70.3,26,11,4,2,0,0,0,3,5,60.0,15,1,70.3% (26/11),3,Laterais criativos,6,74,7.0,-12,-10,0,0,30,75,-2,168.0,3.955968352253182
Thiago dos Santos,Fluminense,DF,34,2143,13,67,0.1,59.2,71,49,25,9,0,0,1,23,40,57.5,29,2,59.2% (71/49),2,Laterais aereo,26,134,1.0,-75,-45,0,10,230,145,-4,422.0,12.693498452012383
Benjamín Kuscevic,Fortaleza,DF,27,1858,4,37,0.4,57.4,54,40,17,8,1,1,1,19,27,70.4,20,2,57.4% (54/40),5,Laterais fisico,8,74,4.0,-51,-40,-10,10,190,100,-4,281.0,7.8431372549019605
Bruno Pacheco,Fortaleza,DF,32,1185,20,37,0.8,62.3,33,20,13,3,0,0,17,21,28,75.0,14,1,62.3% (33/20),3,Laterais criativos,40,74,8.0,-39,-15,0,170,210,70,-2,516.0,15.927072583419333
Emanuel Brítez,Fortaleza,DF,31,2503,12,64,1.9,65.0,65,35,31,12,2,1,13,34,58,58.6,37,1,65.0% (65/35),5,Laterais fisico,24,128,19.0,-93,-60,-20,130,340,185,-2,651.0,20.57103543171655
Felipe Jonatan,Fortaleza,DF,25,1510,15,59,0.6,51.4,18,17,13,0,0,0,51,10,26,38.5,23,0,51.4% (18/17),3,Laterais criativos,30,118,6.0,-39,0,0,510,100,115,0,840.0,27.072583419332645
Guilherme Tinga,Fortaleza,DF,30,2152,32,105,1.9,58.9,73,51,18,3,1,0,70,19,32,59.4,33,1,58.9% (73/51),2,Laterais aereo,64,210,19.0,-54,-15,-10,700,190,165,-2,1267.0,41.76126590987272
Titi,Fortaleza,DF,35,2020,8,44,0.6,49.2,31,32,36,8,0,0,1,14,34,41.2,29,3,49.2% (31/32),2,Laterais aereo,16,88,6.0,-108,-40,0,10,140,145,-6,251.0,6.811145510835913
Tomás Cardona,Fortaleza,DF,28,1435,11,50,0.0,61.5,40,25,23,4,0,0,1,14,25,56.0,29,4,61.5% (40/25),2,Laterais aereo,22,100,0.0,-69,-20,0,10,140,145,-8,320.0,9.184726522187821
Fábio,Grêmio,DF,33,677,11,15,0.4,50.0,13,13,6,1,1,0,21,6,12,50.0,5,0,50.0% (13/13),3,Laterais criativos,22,30,4.0,-18,-5,-10,210,60,25,0,318.0,9.11592707258342
Gustavo Martins Santos,Grêmio,DF,21,1377,1,45,0.0,72.2,39,15,15,1,1,0,1,8,15,53.3,15,0,72.2% (39/15),3,Laterais criativos,2,90,0.0,-45,-5,-10,10,80,75,0,197.0,4.953560371517028
Jemerson,Grêmio,DF,31,1143,2,17,0.0,60.5,23,15,16,5,0,0,1,11,15,73.3,8,0,60.5% (23/15),3,Laterais criativos,4,34,0.0,-48,-25,0,10,110,40,0,125.0,2.476780185758514
João Pedro,Grêmio,DF,27,2754,61,120,2.3,41.5,17,24,14,0,0,0,0,0,0,,1,0,41.5% (17/24),4,Laterais equilibrados,122,240,23.0,-42,0,0,0,0,5,0,348.0,10.147918816649467
João Pedro,Grêmio,DF,27,2754,61,120,2.3,41.5,17,24,14,0,0,0,0,17,29,58.6,18,0,41.5% (17/24),4,Laterais equilibrados,122,240,23.0,-42,0,0,0,170,90,0,603.0,18.91984864121087
João Pedro,Grêmio,DF,27,2754,61,120,2.3,53.1,34,30,15,3,0,0,38,0,0,,1,0,53.1% (34/30),4,Laterais equilibrados,122,240,23.0,-45,-15,0,380,0,5,0,710.0,22.60061919504644
João Pedro,Grêmio,DF,27,2754,61,120,2.3,53.1,34,30,15,3,0,0,38,17,29,58.6,18,0,53.1% (34/30),4,Laterais equilibrados,122,240,23.0,-45,-15,0,380,170,90,0,965.0,31.372549019607842
Pedro Geromel,Grêmio,DF,38,771,2,15,0.0,62.1,18,11,5,4,0,0,2,7,12,58.3,11,0,62.1% (18/11),3,Laterais criativos,4,30,0.0,-15,-20,0,20,70,55,0,144.0,3.130374957000344
Reinaldo,Grêmio,DF,34,2526,34,128,2.7,37.1,13,22,21,6,0,0,94,28,49,57.1,22,2,37.1% (13/22),1,Laterais moderno,68,256,27.0,-63,-30,0,940,280,110,-4,1584.0,52.665978672170624
Rodrigo Ely,Grêmio,DF,30,1659,3,37,0.2,74.3,81,28,16,5,0,0,1,23,29,79.3,24,1,74.3% (81/28),2,Laterais aereo,6,74,2.0,-48,-25,0,10,230,120,-2,367.0,10.801513587891296
Walter Kannemann,Grêmio,DF,32,1000,2,21,0.8,82.4,28,6,23,7,1,0,0,9,20,45.0,19,0,82.4% (28/6),3,Laterais criativos,4,42,8.0,-69,-35,-10,0,90,95,0,125.0,2.476780185758514
Agustín Rogel,Internacional,DF,26,1055,1,24,0.1,73.3,33,12,17,2,1,0,1,5,13,38.5,11,1,73.3% (33/12),3,Laterais criativos,2,48,1.0,-51,-10,-10,10,50,55,-2,93.0,1.3759889920880632
Alexandro Bernabei,Internacional,DF,23,2063,59,114,4.9,56.9,29,22,41,5,0,0,105,28,60,46.7,49,0,56.9% (29/22),0,Laterais protetores,118,228,49.0,-123,-25,0,1050,280,245,0,1822.0,60.8531131750946
Fabricio Bustos,Internacional,DF,27,864,12,63,0.8,41.2,7,10,17,4,0,0,26,18,25,72.0,11,0,41.2% (7/10),3,Laterais criativos,24,126,8.0,-51,-20,0,260,180,55,0,582.0,18.197454420364636
Gabriel Mercado,Internacional,DF,36,1186,2,32,0.7,48.9,23,24,8,6,0,0,1,9,12,75.0,10,0,48.9% (23/24),3,Laterais criativos,4,64,7.0,-24,-30,0,10,90,50,0,171.0,4.059167526659787
Igor Gomes,Internacional,DF,22,688,8,22,0.1,46.5,20,23,8,2,0,0,11,11,19,57.9,7,0,46.5% (20/23),3,Laterais criativos,16,44,1.0,-24,-10,0,110,110,35,0,282.0,7.877536979704162
Renê,Internacional,DF,31,1043,33,93,0.6,72.5,29,11,12,2,0,0,21,12,18,66.7,21,0,72.5% (29/11),4,Laterais equilibrados,66,186,6.0,-36,-10,0,210,120,105,0,647.0,20.43343653250774
Robert Renan,Internacional,DF,20,959,16,45,0.3,50.0,14,14,14,2,0,0,12,14,25,56.0,20,1,50.0% (14/14),3,Laterais criativos,32,90,3.0,-42,-10,0,120,140,100,-2,431.0,13.003095975232199
Vitão,Internacional,DF,23,2502,29,89,0.1,59.1,55,38,20,5,0,0,4,20,30,66.7,23,0,59.1% (55/38),2,Laterais aereo,58,178,1.0,-60,-25,0,40,200,115,0,507.0,15.617475060199517
Alan Ruschel,Juventude,DF,34,2243,44,119,1.7,48.8,21,22,29,7,2,2,95,41,75,54.7,35,0,48.8% (21/22),1,Laterais moderno,88,238,17.0,-87,-35,-20,950,410,175,0,1736.0,57.89473684210527
Danilo Boza,Juventude,DF,25,2829,20,88,0.3,65.0,76,41,5,2,0,0,8,11,23,47.8,33,1,65.0% (76/41),2,Laterais aereo,40,176,3.0,-15,-10,0,80,110,165,-2,547.0,16.99346405228758
Gabriel Inocêncio,Juventude,DF,29,883,22,25,0.7,53.6,15,13,22,2,0,0,19,13,23,56.5,9,0,53.6% (15/13),3,Laterais criativos,44,50,7.0,-66,-10,0,190,130,45,0,390.0,11.592707258341933
João Lucas,Juventude,DF,25,2569,72,107,4.4,50.9,29,28,33,8,1,1,136,37,58,63.8,28,0,50.9% (29/28),1,Laterais moderno,144,214,44.0,-99,-40,-10,1360,370,140,0,2123.0,71.20743034055728
Lucas Freitas,Juventude,DF,23,1256,8,43,0.1,45.7,16,19,11,3,1,1,3,5,12,41.7,14,0,45.7% (16/19),3,Laterais criativos,16,86,1.0,-33,-15,-10,30,50,70,0,195.0,4.8847609219126245
